Y,ILE,EPPD,EAI,FACEI,EPSP,UFSC,WPIC,WEP_Tax,UW_RNR,EWIC,ECK,ESA,ESK,APIC,EPK,AUGP,REnth,WWGD,SEP,TFC
1,4,3,6,2,4,3,0,3,3,1,3,1,3,2,2,1,4,1,3,18
1,4,3,6,4,4,1,1,2,3,0,2,1,2,1,1,3,3,1,2,15
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
1,10,5,6,3,4,5,1,5,1,1,1,1,3,3,1,2,1,1,3,16
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
0,6,5,6,5,4,7,0,5,1,0,3,1,3,1,1,1,4,1,1,21
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
1,9,5,4,2,4,5,0,1,5,0,4,1,5,1,1,1,4,1,5,23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
0,6,3,6,4,4,4,1,3,3,0,4,1,2,2,1,2,3,1,2,20
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
1,2,2,6,5,4,7,0,5,0,0,0,1,1,1,1,0,1,1,0,19
1,10,3,6,5,4,7,0,2,4,0,4,1,3,1,1,2,4,1,4,18
1,6,2,5,4,4,4,0,2,5,1,3,1,2,4,1,2,3,1,4,19
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
1,10,5,6,5,4,5,0,2,2,1,3,1,4,1,3,1,4,1,4,24
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
1,8,2,6,3,4,3,0,2,5,1,4,1,2,2,1,1,2,1,4,16
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
0,5,5,5,4,5,4,1,1,5,1,2,1,2,5,1,3,3,1,1,19
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
1,10,2,6,3,4,7,1,2,3,0,1,1,1,1,1,1,2,1,3,21
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30
1,10,5,6,5,4,5,1,2,4,1,3,1,3,3,2,1,4,1,5,18
0,2,2,6,3,4,3,1,2,4,0,4,1,1,0,1,1,1,1,4,25
1,4,3,6,5,4,5,1,3,4,1,2,1,2,1,1,1,1,1,3,19
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18
0,2,3,6,2,4,3,0,0,3,1,3,1,2,3,1,2,3,1,2,14
1,10,5,6,4,4,4,0,2,5,1,2,1,2,1,1,1,4,1,4,17
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
